coursecategory,timespentoncourse,numberofvideoswatched,numberofquizzestaken,quizscores,completionrate,devicetype,coursecompletion
1,29.97971934613741,17,3,50.365655948359226,20.860772712321182,1,0
4,27.802639509751515,1,5,62.61596979322466,65.63241524373352,1,0
4,86.82048469711872,14,2,78.4589624023972,63.81200658802416,1,1
3,35.03842663461649,17,10,59.19885273381349,95.43316189339762,0,1
2,92.4906469645332,16,0,98.42828500171674,18.102477525410755,0,0
1,79.46612884332329,12,7,70.2333289468058,76.48402324939777,0,1
1,78.9087242374251,10,2,86.83653261494925,22.588896140963342,1,0
0,12.06823675215978,16,3,61.55364646476677,27.410990874379625,1,0
0,81.93570917985394,8,4,90.26456414855328,33.30843667864675,0,1
2,83.39402571104472,15,10,63.956352955520536,33.26129953014595,1,0
3,55.44885317072934,3,7,57.50783648915665,80.63469702926727,0,0
4,27.26533064192148,17,9,70.99850119498619,0.1283363229380274,0,0
4,12.262483785584529,13,1,68.54184823678045,48.91869023749844,1,0
2,33.79016764768902,1,5,97.70588953857865,77.31223562370481,0,1
3,40.787972087640696,7,3,72.02018992210475,87.47619949726861,1,1
3,37.74623794822219,10,8,93.30974857144088,95.8903217174662,0,1
2,36.36982127760847,8,10,71.74027659522311,43.54888955385587,1,1
1,26.67976913466473,15,8,64.15505767450269,21.184777691520363,1,0
0,11.17804761184954,20,5,78.02583213062266,55.69746684173562,0,0
1,56.70844279087808,6,8,81.38063449593083,49.176911118789945,0,1
3,90.89545275723644,11,9,82.80335560655193,76.06002032466282,1,1
3,19.220062447323222,6,4,70.24297667055698,69.88922262914392,1,1
4,24.988750032357324,6,9,64.48616706067624,7.433288004684602,1,0
0,33.48224410834035,3,9,59.8758706754866,78.58320720339476,0,0
3,57.668364870808745,0,5,92.00831477467004,35.024928003816655,0,0
2,33.8079156819551,12,1,53.6597605659185,89.9525527538609,0,1
2,48.54343463363164,3,7,50.46763175521277,50.99683171875333,0,0
3,56.94215602063267,7,6,80.37425848450256,61.12697845853356,0,1
2,40.81348180255279,15,0,55.02883721210786,56.94624076543875,0,0
2,12.805246220606858,6,9,51.85830564221426,86.30231756665131,0,0
4,64.89874148516614,13,6,97.3401987109964,68.02150504513817,1,1
2,44.70916758562794,5,8,76.9412180222065,17.541934124071844,0,0
4,44.463895154064346,16,10,51.70151786760175,53.400707703532966,0,0
0,79.92671792725722,18,3,82.8515882752971,69.03969779917355,1,1
2,66.23533659953954,3,4,54.642636585229226,59.146139308126656,1,0
1,27.30889124247948,17,3,90.02120477161247,7.434988155754207,0,0
1,30.33845961117749,11,10,85.91852407206679,94.5492986171422,0,1
4,55.99522788037752,19,7,89.28612560657936,12.969146318848887,0,0
4,26.021524206096856,7,8,81.67770398732854,33.32047026777094,0,1
4,46.16776436128021,20,5,57.51320694226913,67.48314094068168,0,1
4,14.964920149737411,9,6,96.20605086239355,35.90245247288345,0,0
3,23.371860080863165,12,1,74.71747173615051,60.72715873028089,1,1
3,35.09837657550164,13,6,53.80004944829931,42.34052102368495,1,0
0,74.53035551256862,2,7,79.58932418252478,79.92665079525295,1,1
2,90.28199332772544,19,3,85.757982927004,47.14835242341192,0,0
0,96.42768519524566,7,0,70.18434249993251,15.54444396051926,1,0
3,11.445850993718908,6,8,82.99278190747742,55.47063348875232,1,0
1,21.12566598815966,7,10,67.06323236445888,5.094871160295811,1,1
0,94.96213323193646,13,8,96.74738134978736,80.8161152568603,1,1
3,87.24751758868146,0,9,60.12098346303216,5.944659811055053,1,0
2,20.012157362341405,1,2,66.3330807982308,43.60312452908891,0,0
1,76.08711898360353,16,10,69.87188422800713,5.123885111849413,1,0
2,89.88527688054053,2,3,89.94464524289667,78.47655174140448,1,0
3,36.58505759204168,13,7,78.47425985306087,85.52357567109635,0,1
1,68.0311152231597,13,0,96.94199526194949,5.1013744565620245,0,0
4,3.34791967027327,8,4,96.54886729714607,27.991879727057057,1,0
4,9.739541103872536,15,1,70.99381544683521,61.79129346746699,0,0
2,31.21067472319168,4,8,72.95086263740637,94.8652576426956,0,1
2,84.69650096837621,15,7,90.25993654537126,44.68531007614127,1,1
4,41.54232954759268,7,2,59.47520889482437,93.94135862944825,0,0
4,3.52919271103881,13,9,85.73436748006172,5.514118167504456,0,1
4,32.63535722496225,10,4,74.75876252080349,70.11965165777208,1,1
4,49.57074401392171,10,10,77.69134096892444,18.70101130655745,0,1
0,80.15828576609829,2,5,79.2052751471904,19.13323340332496,1,0
4,45.68233579025563,12,10,91.99174290445994,78.9148654932726,0,1
2,38.49037566996723,17,8,63.13736293025264,78.86536604091218,0,0
4,53.58868062990964,0,3,51.604869763345455,47.47055356057127,1,0
1,56.17716140693022,9,8,97.27643294899131,32.06852075725271,1,1
3,9.858359915259324,8,9,60.66942413444698,25.49009120408316,1,0
1,5.971099024299701,14,9,60.650799169906406,38.471446170986056,1,0
2,94.78114798588702,14,4,87.78225140011364,15.985817563272652,0,1
2,56.227531063889344,18,0,96.62762883560018,64.02928474191076,1,1
1,96.932283386797,2,4,59.31723336318424,27.12688424166274,1,0
1,53.218189908451485,3,7,97.00846595291436,93.15020403256344,1,1
3,27.8746056390781,20,9,89.02223857909608,28.45747766359976,0,1
3,36.95572324790628,7,4,70.54541633714291,12.21204793660876,1,1
2,13.336806563044597,18,1,77.6143296891323,36.65234427163578,1,0
1,14.218039583929135,18,10,91.70042042457573,69.64615576728983,0,1
0,67.7494196011917,7,4,52.168926453753,66.05835423911273,0,1
1,95.93155587967532,12,5,52.04329207292744,59.76003664322449,0,0
1,22.773497069227545,5,2,65.4381647257423,76.96820347037485,1,0
0,53.87606731850069,11,7,87.50740175850824,95.55933224544798,1,1
1,42.09273477177211,9,2,75.59385542726584,43.52847751132492,1,0
1,40.398077268066366,7,4,53.40800298234453,48.79359049157362,1,1
1,65.0337603745606,19,7,74.62656494021554,35.4340401666406,0,1
0,2.346835149616159,4,2,88.32572285678341,61.32818909542181,0,0
3,67.1254398101185,3,10,60.79363236403076,67.46767278561448,1,0
1,32.551028471254334,4,7,50.52054933062579,26.335472838207902,1,0
1,33.221429878985646,10,0,71.02668603641426,69.55960060287876,1,1
1,3.608385887197843,12,6,73.87502611171486,71.4711334471692,0,1
1,81.137847751928,9,4,52.5479188384228,71.03879989153981,1,1
4,75.48784291822726,1,5,51.793778258704506,24.74935070651185,1,0
4,60.93463682338108,20,9,81.58560513375862,29.00188364857853,1,1
3,1.776647202821696,11,7,50.780573331359264,59.4793471672893,0,0
0,55.29169273744926,19,2,81.43226203068515,79.31814212891162,1,1
2,54.17976283879886,9,2,73.66606452746696,35.7469591802418,1,0
2,19.430338538860955,18,6,63.9813173841432,51.22714861350365,1,0
1,36.685839885776296,9,3,97.017835723286,79.00436169083594,0,1
1,15.086335642482648,18,2,77.47082149010794,86.6319592006087,1,0
1,9.880230403817208,2,5,52.14262839320924,42.92665417639105,0,0
1,57.10007792126629,16,1,98.43352614008884,95.64807029994114,0,1
0,22.17836417947205,0,9,68.00077698333658,88.49886056707629,0,0
1,87.55093579174928,9,0,86.94631148227096,89.25673969153371,0,1
1,16.895223265553852,14,9,68.57645327350014,48.34825924315631,0,0
4,90.90507359950244,19,8,78.78184188120731,46.47547351933574,0,1
2,48.76269556773064,17,4,67.40102537778354,41.64978118324392,1,0
0,64.2336174728836,19,7,96.1427774048847,6.182249654034178,1,1
4,1.3345058340328149,8,5,89.37415887109415,49.23327199072878,1,0
4,6.258941795701109,19,5,97.9582268698994,17.25951474329066,0,0
0,24.681897715387656,4,10,76.06499391624814,30.62257034545801,1,0
1,18.13941847735042,0,0,62.81103980889195,82.11963631283035,1,0
2,10.056812835035064,10,8,75.4104087518778,25.956530918507347,0,0
2,84.14609769473014,15,5,73.70656958563228,62.54344521952093,1,1
4,9.742959400639204,9,7,62.05238624899021,55.88842511336092,0,0
0,35.96228582597124,4,0,86.88619783111699,73.9792576500326,1,0
4,3.440949514982396,0,6,87.17420880316594,49.40500868803226,0,0
3,25.470299714857244,0,9,51.52728968677454,72.11856514527716,1,0
1,15.344967271427256,6,8,90.62201201982948,63.37961430561173,0,1
0,54.18360976009397,20,6,65.73490412386319,65.10002248370924,0,1
2,14.452728862631826,13,3,99.0132375051274,4.446850551911396,0,0
4,94.65421714056572,4,10,67.77543537154133,3.4368232405588506,0,0
3,9.684046530276468,18,0,61.66858157318342,38.78834401380908,0,0
0,11.826234407838406,6,2,61.12123409860745,61.65013487721439,1,0
3,89.88178483281057,18,1,73.09700977504747,61.85231898492772,0,1
3,87.28302239010452,15,10,85.9452131673776,43.989207150781965,1,1
0,19.268970022927768,0,6,69.57944029756533,10.806673975007207,0,0
1,13.022818957109124,11,6,75.82772230082863,3.193659352528555,0,0
0,88.99990602599178,11,6,69.62323914564101,91.94907791430668,0,1
3,72.50880566404707,15,7,91.56188149358692,89.70828922039557,1,1
4,15.187693591285456,8,5,51.38141496781508,52.16741693520286,0,0
0,17.9797867671542,6,2,67.17301884593982,71.79811032462091,0,0
1,87.26202564168797,3,7,70.86462688673276,95.53449799797215,0,1
1,10.471202332393055,8,9,76.52730196967582,72.84725350098749,1,1
2,29.24110253221175,6,10,76.85944197829933,33.770820881830744,0,1
0,29.44570298953729,7,6,85.18513763219013,26.15809961709488,0,1
3,34.17730240292625,20,6,98.48392741798904,69.34892468921299,0,1
0,26.820034292084856,8,4,84.1227064022452,72.65406916868662,1,1
2,1.68880114302583,5,8,86.52103600402899,18.25010182418236,1,0
4,52.14878567213167,2,7,88.28163858125463,79.30162112492182,0,1
4,99.75386082052768,19,4,70.54991868410816,24.97061485849797,1,1
2,46.99369367948536,0,7,62.524510949444775,57.054908474642495,0,0
0,83.31024557110081,4,1,93.29728091488354,95.83785631215684,0,0
0,52.25632505334176,9,0,86.32073431530327,46.52250129976818,1,0
1,84.48990313430181,0,9,96.16317483383284,84.77026050376995,0,1
2,61.03931977881102,13,6,67.99691586063622,42.08148502477037,1,0
1,55.67000573721081,11,9,89.06386077005743,46.99548634486855,0,1
2,1.5663722226544978,8,4,51.88603763462213,50.95618640651922,0,0
2,89.5445955161506,15,2,98.24105898950305,94.66678069631789,0,1
4,87.74610602003246,20,8,81.89673528609613,36.68965168913999,0,0
1,23.91222641587904,20,10,56.91001466740049,47.89633474805014,1,0
2,74.868899878852,10,1,68.9028814238327,1.1746895223129994,1,0
2,93.969049183815,20,7,83.4137733487016,87.83881742513633,0,1
0,82.1669466051735,14,2,96.60884974587046,40.20975129423328,0,0
2,52.16325887437178,19,4,95.98129001977571,80.38279316053402,1,1
0,35.14402824314515,19,4,63.496014273245166,64.20498938858061,0,1
1,47.13434792094828,18,0,56.7867653791634,60.60176960592657,1,0
4,64.5357650396601,14,9,87.73876955683595,93.15762948059138,0,1
1,4.179855850713633,15,6,64.8875384746979,20.90977296359089,1,0
1,40.62169045834231,12,9,88.8620351658578,9.453955461377006,1,1
0,11.388978852466996,9,9,73.4406909906941,39.978662791044094,0,0
3,4.439472446310367,8,10,98.49116689265024,20.70846545136995,1,0
2,25.499305220632408,4,10,77.37668842546604,8.998963191982668,0,0
4,21.112843798056684,2,4,84.67030688857676,93.70550941381522,0,1
4,9.284417836522035,4,6,78.26216595438746,65.10731742262826,1,0
3,55.01186032779908,18,10,79.45224189908518,97.84185220555266,1,1
3,76.5756771656946,12,8,61.07108933851266,29.016247073068925,0,0
0,58.80196846349352,19,3,83.26468690952731,19.007688415660883,1,0
4,20.943201682933587,1,3,67.4132755485814,39.68213969230292,1,0
4,33.580492151161195,3,8,83.07007991059885,71.55146279627289,1,1
0,7.724694218059798,13,9,96.01446045061697,72.40334894690264,0,1
1,46.23256094326037,3,4,55.67439199764145,88.50579136569165,1,0
4,2.2637772252718387,17,9,94.0410334648175,93.38300222934068,0,1
4,70.13301907011545,17,4,64.93440531649782,84.61031400809817,1,1
2,64.31582881135381,2,1,50.11893008067853,55.0337827720627,1,0
0,13.264175964260629,1,6,99.89047277914742,53.35689123375985,0,0
2,89.92764928380763,13,4,64.60157057111489,31.4971932407386,1,1
4,40.43938989028363,10,6,75.39880616220685,46.788351120267926,1,1
0,60.3369916220883,10,6,74.76458656753562,94.36787885429892,1,1
4,68.90175123356,15,1,84.79200519299607,33.54557116098081,1,0
4,75.06291387483361,5,2,54.71767736459012,20.181305587600207,1,0
4,21.304281618637383,14,4,67.85519575591739,63.76383569039152,0,1
0,85.88406981842928,14,7,67.04892736996501,34.03748706200561,0,0
2,29.50007083014961,17,8,90.0641179243371,30.405649568933125,1,1
3,20.90726535219855,13,0,87.86807382679848,73.03273105093909,1,1
4,77.30213291535003,2,5,60.511294232126986,10.461542637947518,0,0
3,21.04537784999662,8,8,54.64117838806955,46.41868399299827,1,0
4,51.87187856764312,12,9,97.79603459297616,98.1304937721164,1,1
4,17.55238960017957,17,3,56.60612619560328,55.87074126296901,1,0
2,96.6948842341572,16,3,53.19100589266155,6.90697583599097,1,1
0,50.27789979708274,19,5,80.65378558585638,60.60168011369976,0,1
4,40.9610227548543,12,10,58.03086465996762,70.47871500043227,0,1
0,17.530413493582845,8,10,87.50647034590921,35.87914070340285,1,0
1,89.77790844086671,0,4,95.51006417810171,7.20195123793469,1,0
0,26.03054453335096,19,5,72.35856893002477,73.9667399126054,1,1
0,75.95949591583944,10,8,89.0100800298086,99.75015533375888,0,1
0,50.54899461258477,17,0,96.67524825551548,98.22668880537591,0,1
3,98.87699893648724,19,1,74.2539050023157,17.378650187307965,0,0
4,25.625583362827044,3,3,76.13125861382457,72.77790851215245,0,0
2,85.77222767662947,7,4,85.61544429642566,23.62692095640257,0,1
0,44.20839148348817,15,5,88.9432813292398,98.49870694213776,0,1
0,31.20580983099613,7,3,94.27552187882809,86.19518798543506,1,1
3,24.977393309301075,5,10,87.38557626267573,83.44668050654933,0,1
0,5.694147977868408,14,9,65.15376834168087,57.99243662687415,1,0
3,1.911361071673656,8,2,69.61580112317624,2.81354124824158,0,0
2,32.034053703476054,12,1,74.90287009827692,51.17855493880601,0,0
3,17.741286141644498,2,1,80.59119755497976,15.681292947329084,0,0
1,9.31616973754194,6,8,51.99012097602919,21.76227554059324,1,0
1,51.87370764304513,6,9,55.68914986902414,7.336565938054019,1,0
2,27.22175952354357,4,10,86.27103530577426,18.567148673432264,0,0
3,95.10860929451788,15,6,85.08620617537736,38.20289909337884,1,1
1,18.53002126967804,16,7,61.5450931986686,66.14472488754824,1,0
0,34.71701780469075,20,9,72.3618967889136,30.77451511814844,1,1
2,92.9730676859633,16,9,82.01487518318757,89.10037963132255,0,1
0,20.15127557318181,19,9,96.40301778252824,45.06465913472266,1,1
0,86.7750978229576,8,9,81.11635891459215,53.3306365640841,1,1
3,65.88293674688187,8,1,52.55827868057305,4.229916702820191,0,0
0,43.23259820438494,2,3,74.67740653685766,1.119061395617027,0,0
